src_ip,dst_ip,length,protocol,src_port,dst_port,flags,timestamp
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:10
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:10
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:11
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:10
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:11
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:11
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:11
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:11
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:12
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:12
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:12
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:12
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:12
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:12
192.168.31.136,34.149.100.209,186,6,34432,443,PA,2025-05-17 13:30:12
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:12
192.168.31.136,34.149.100.209,186,6,34432,443,PA,2025-05-17 13:30:12
192.168.31.136,34.149.100.209,96,6,34432,443,PA,2025-05-17 13:30:12
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:13
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:13
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:13
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:13
192.168.31.136,34.149.100.209,96,6,34432,443,PA,2025-05-17 13:30:13
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:13
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:13
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:13
34.149.100.209,192.168.31.136,1077,6,443,34432,PA,2025-05-17 13:30:13
34.149.100.209,192.168.31.136,1077,6,443,34432,PA,2025-05-17 13:30:13
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:14
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:14
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:14
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:14
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:14
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:14
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:14
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:14
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:15
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:15
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:15
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:15
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:15
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:15
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:15
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:15
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:15
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:16
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:16
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:16
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:16
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,143,6,443,55264,PA,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,143,6,443,55264,PA,2025-05-17 13:30:16
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:17
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:17
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:17
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:17
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:17
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:17
192.168.31.136,34.149.100.209,196,6,34432,443,PA,2025-05-17 13:30:17
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:17
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:17
34.149.100.209,192.168.31.136,166,6,443,34432,PA,2025-05-17 13:30:18
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:18
192.168.31.136,34.149.100.209,196,6,34432,443,PA,2025-05-17 13:30:18
